Target_Activity,TestActivity,mode,Threshold,K,N,GhostCount,L,pmin,gamma_min,eps_suffix,Predict,Actual,Matched,GhostRatio
ladderActivity,ladderActivity,markov,0.5,5,15,5,,,,,1,1,True,0.3333333333333333
ladderActivity,ladderActivity,markov,0.5,5,8,5,,,,,0,1,False,0.625
ladderActivity,ladderActivity,markov,0.5,5,14,9,,,,,0,1,False,0.6428571428571429
ladderActivity,ladderActivity,markov,0.5,5,19,3,,,,,0,1,False,0.1578947368421052
ladderActivity,ladderActivity,markov,0.5,5,37,15,,,,,0,1,False,0.4054054054054054
ladderActivity,ladderActivity,markov,0.5,5,19,6,,,,,0,1,False,0.3157894736842105
ladderActivity,ladderActivity,markov,0.5,5,17,10,,,,,0,1,False,0.5882352941176471
ladderActivity,ladderActivity,markov,0.5,5,14,5,,,,,1,1,True,0.3571428571428571
ladderActivity,ladderActivity,markov,0.5,5,22,11,,,,,0,1,False,0.5
ladderActivity,ladderActivity,markov,0.5,6,9,5,,,,,0,1,False,0.5555555555555556
ladderActivity,ladderActivity,markov,0.5,6,15,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.5,6,8,1,,,,,1,1,True,0.125
ladderActivity,ladderActivity,markov,0.5,6,14,1,,,,,1,1,True,0.0714285714285714
ladderActivity,ladderActivity,markov,0.5,6,19,1,,,,,0,1,False,0.0526315789473684
ladderActivity,ladderActivity,markov,0.5,6,37,13,,,,,0,1,False,0.3513513513513513
ladderActivity,ladderActivity,markov,0.5,6,19,1,,,,,0,1,False,0.0526315789473684
ladderActivity,ladderActivity,markov,0.5,6,17,4,,,,,1,1,True,0.2352941176470588
ladderActivity,ladderActivity,markov,0.5,6,14,4,,,,,1,1,True,0.2857142857142857
ladderActivity,ladderActivity,markov,0.5,6,22,6,,,,,1,1,True,0.2727272727272727
ladderActivity,ladderActivity,markov,0.5,7,9,2,,,,,0,1,False,0.2222222222222222
ladderActivity,ladderActivity,markov,0.5,7,15,2,,,,,1,1,True,0.1333333333333333
ladderActivity,ladderActivity,markov,0.5,7,8,1,,,,,1,1,True,0.125
ladderActivity,ladderActivity,markov,0.5,7,14,3,,,,,1,1,True,0.2142857142857142
ladderActivity,ladderActivity,markov,0.5,7,19,4,,,,,0,1,False,0.2105263157894736
ladderActivity,ladderActivity,markov,0.5,7,37,7,,,,,1,1,True,0.1891891891891892
ladderActivity,ladderActivity,markov,0.5,7,19,4,,,,,0,1,False,0.2105263157894736
ladderActivity,ladderActivity,markov,0.5,7,17,5,,,,,1,1,True,0.2941176470588235
ladderActivity,ladderActivity,markov,0.5,7,14,7,,,,,0,1,False,0.5
ladderActivity,ladderActivity,markov,0.5,7,22,10,,,,,0,1,False,0.4545454545454545
ladderActivity,ladderActivity,markov,0.5,8,9,3,,,,,0,1,False,0.3333333333333333
ladderActivity,ladderActivity,markov,0.5,8,15,1,,,,,1,1,True,0.0666666666666666
ladderActivity,ladderActivity,markov,0.5,8,8,3,,,,,1,1,True,0.375
ladderActivity,ladderActivity,markov,0.5,8,14,2,,,,,1,1,True,0.1428571428571428
ladderActivity,ladderActivity,markov,0.5,8,19,5,,,,,0,1,False,0.2631578947368421
ladderActivity,ladderActivity,markov,0.5,8,37,15,,,,,0,1,False,0.4054054054054054
ladderActivity,ladderActivity,markov,0.5,8,19,2,,,,,0,1,False,0.1052631578947368
ladderActivity,ladderActivity,markov,0.5,8,17,7,,,,,0,1,False,0.4117647058823529
ladderActivity,ladderActivity,markov,0.5,8,14,6,,,,,0,1,False,0.4285714285714285
ladderActivity,ladderActivity,markov,0.5,8,22,8,,,,,0,1,False,0.3636363636363636
ladderActivity,ladderActivity,markov,0.5,9,9,7,,,,,0,1,False,0.7777777777777778
ladderActivity,ladderActivity,markov,0.5,9,15,0,,,,,0,1,False,0.0
ladderActivity,ladderActivity,markov,0.5,9,8,1,,,,,1,1,True,0.125
ladderActivity,ladderActivity,markov,0.5,9,14,2,,,,,1,1,True,0.1428571428571428
ladderActivity,ladderActivity,markov,0.5,9,19,2,,,,,0,1,False,0.1052631578947368
ladderActivity,ladderActivity,markov,0.5,9,37,26,,,,,0,1,False,0.7027027027027027
ladderActivity,ladderActivity,markov,0.5,9,19,3,,,,,0,1,False,0.1578947368421052
ladderActivity,ladderActivity,markov,0.5,9,17,6,,,,,0,1,False,0.3529411764705882
ladderActivity,ladderActivity,markov,0.5,9,14,8,,,,,0,1,False,0.5714285714285714
ladderActivity,ladderActivity,markov,0.5,9,22,8,,,,,0,1,False,0.3636363636363636
ladderActivity,ladderActivity,markov,0.5,10,9,3,,,,,0,1,False,0.3333333333333333
ladderActivity,ladderActivity,markov,0.5,10,15,0,,,,,0,1,False,0.0
ladderActivity,ladderActivity,markov,0.5,10,8,2,,,,,0,1,False,0.25
ladderActivity,ladderActivity,markov,0.5,10,14,0,,,,,0,1,False,0.0
ladderActivity,ladderActivity,markov,0.5,10,19,0,,,,,0,1,False,0.0
ladderActivity,ladderActivity,markov,0.5,10,37,19,,,,,0,1,False,0.5135135135135135
ladderActivity,ladderActivity,markov,0.5,10,19,3,,,,,0,1,False,0.1578947368421052
ladderActivity,ladderActivity,markov,0.5,10,17,1,,,,,0,1,False,0.0588235294117647
ladderActivity,ladderActivity,markov,0.5,10,14,8,,,,,0,1,False,0.5714285714285714
ladderActivity,ladderActivity,markov,0.5,10,22,4,,,,,0,1,False,0.1818181818181818
ladderActivity,ladderActivity,markov,0.6,5,12,5,,,,,0,1,False,0.4166666666666667
ladderActivity,ladderActivity,markov,0.6,5,7,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.6,5,4,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.6,5,9,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.6,5,6,4,,,,,0,1,False,0.6666666666666666
ladderActivity,ladderActivity,markov,0.6,5,7,2,,,,,1,1,True,0.2857142857142857
ladderActivity,ladderActivity,markov,0.6,5,2,1,,,,,1,1,True,0.5
ladderActivity,ladderActivity,markov,0.6,5,8,1,,,,,1,1,True,0.125
ladderActivity,ladderActivity,markov,0.6,5,3,0,,,,,0,1,False,0.0
ladderActivity,ladderActivity,markov,0.6,5,17,4,,,,,1,1,True,0.2352941176470588
ladderActivity,ladderActivity,markov,0.6,6,12,3,,,,,0,1,False,0.25
ladderActivity,ladderActivity,markov,0.6,6,7,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.6,6,4,0,,,,,1,1,True,0.0
ladderActivity,ladderActivity,markov,0.6,6,9,1,,,,,0,1,False,0.1111111111111111
ladderActivity,ladderActivity,markov,0.6,6,6,4,,,,,0,1,False,0.6666666666666666
ladderActivity,ladderActivity,markov,0.6,6,7,1,,,,,0,1,False,0.1428571428571428
ladderActivity,ladderActivity,markov,0.6,6,2,0,,,,,1,1,True,0.0
